day_of_year,is_daylight,distance_to_solar_noon,average_temperature_day,average_wind_direction_day,average_wind_speed_day,sky_cover,visibility,relative_humidity,average_wind_speed_period,average_barometric_pressure_period,power_generated_kw,first_hour_of_period_sin,first_hour_of_period_cos,day_of_year_sin,day_of_year_cos,distance_to_noon_squared,solar_potential
247,1,0.298835705,73,29,7.9,0,10.0,27,20.0,29.81,15308,-0.8660254037844385,-0.5000000000000004,-0.8906165093267404,-0.45475513555610575,0.08930277858284703,0.7381760567329297
247,1,0.531694696,73,29,7.9,0,10.0,53,14.0,29.81,455,-0.9659258262890684,0.2588190451025203,-0.8906165093267404,-0.45475513555610575,0.28269924975453237,0.5341573995620565
247,0,0.764553687,73,29,7.9,0,10.0,70,6.0,29.85,0,-0.5000000000000004,0.8660254037844384,-0.8906165093267404,-0.45475513555610575,0.5845423403052941,0.3301387423911831
248,0,0.86770428,76,30,6.9,0,10.0,73,0.0,29.83,0,0.25881904510252074,0.9659258262890683,-0.8982917515547529,-0.43939950965914165,0.7529107175303184,0.2397636815878007
248,0,0.634241245,76,30,6.9,0,10.0,78,6.0,29.82,0,0.8660254037844386,0.5000000000000001,-0.8982917515547529,-0.43939950965914165,0.40226195685915006,0.44431156996947196
248,1,0.40077821,76,30,6.9,0,10.0,70,0.0,29.84,4750,0.9659258262890683,-0.25881904510252063,-0.8982917515547529,-0.43939950965914165,0.1606231736108041,0.6488594583511432
248,1,0.167315175,76,30,6.9,0,10.0,64,3.0,29.85,23555,0.49999999999999994,-0.8660254037844387,-0.8982917515547529,-0.43939950965914165,0.027994367785280628,0.8534073467328145
248,1,0.06614786,76,30,6.9,0,10.0,62,6.0,29.79,27741,-0.2588190451025208,-0.9659258262890683,-0.8982917515547529,-0.43939950965914165,0.0043755393825796,0.9420447648855143
248,1,0.299610895,76,30,6.9,0,10.0,30,15.0,29.75,14917,-0.8660254037844385,-0.5000000000000004,-0.8982917515547529,-0.43939950965914165,0.08976668840270102,0.737496876503843
248,1,0.53307393,76,30,6.9,0,10.0,27,17.0,29.74,429,-0.9659258262890684,0.2588190451025203,-0.8982917515547529,-0.43939950965914165,0.2841678148456449,0.5329489881221717
248,0,0.766536965,76,30,6.9,0,10.0,33,5.0,29.77,0,-0.5000000000000004,0.8660254037844384,-0.8982917515547529,-0.43939950965914165,0.5875789187114112,0.32840109974050047
249,0,0.869791667,77,29,8.5,0,10.0,53,3.0,29.77,0,0.25881904510252074,0.9659258262890683,-0.9057022630804714,-0.42391439070986087,0.7565375439826388,0.23793482417109946
249,0,0.635416667,77,29,8.5,0,10.0,70,7.0,29.76,0,0.8660254037844386,0.5000000000000001,-0.9057022630804714,-0.42391439070986087,0.4037543407013889,0.44328172775887387
249,1,0.401041667,77,29,8.5,0,10.0,61,0.0,29.8,4804,0.9659258262890683,-0.25881904510252063,-0.9057022630804714,-0.42391439070986087,0.16083441867013887,0.6486286313466483
249,1,0.166666667,77,29,8.5,0,10.0,64,3.0,29.82,23551,0.49999999999999994,-0.8660254037844387,-0.9057022630804714,-0.42391439070986087,0.027777777888888886,0.8539755349344227
249,1,0.067708333,77,29,8.5,0,10.0,49,5.0,29.78,27963,-0.2588190451025208,-0.9659258262890683,-0.9057022630804714,-0.42391439070986087,0.004584418357638889,0.940677561477803
249,1,0.302083333,77,29,8.5,0,10.0,19,22.0,29.75,14980,-0.8660254037844385,-0.5000000000000004,-0.9057022630804714,-0.42391439070986087,0.0912543400763889,0.7353306578900286
249,1,0.536458333,77,29,8.5,0,10.0,51,15.0,29.76,423,-0.9659258262890684,0.2588190451025203,-0.9057022630804714,-0.42391439070986087,0.28778754304513887,0.5299837543022542
249,0,0.770833333,77,29,8.5,0,10.0,37,8.0,29.79,0,-0.5000000000000004,0.8660254037844384,-0.9057022630804714,-0.42391439070986087,0.5941840272638889,0.3246368507144798
250,0,0.870925684,75,30,8.6,1,10.0,57,6.0,29.78,0,0.25881904510252074,0.9659258262890683,-0.9128458599921354,-0.40830434224389367,0.7585115470508679,0.23457184623010202
250,0,0.636245111,75,30,8.6,1,10.0,73,3.0,29.78,0,0.8660254037844386,0.5000000000000001,-0.9128458599921354,-0.40830434224389367,0.40480784127140235,0.43813033031661763
250,1,0.401564537,75,30,8.6,1,10.0,52,3.0,29.81,4562,0.9659258262890683,-0.25881904510252063,-0.9128458599921354,-0.40830434224389367,0.16125407737602437,0.6416888152705187
250,1,0.166883963,75,30,8.6,1,10.0,66,3.0,29.82,22761,0.49999999999999994,-0.8660254037844387,-0.9128458599921354,-0.40830434224389367,0.02785025710658537,0.8452473002244196
250,1,0.06779661,75,30,8.6,0,10.0,29,16.0,29.79,28193,-0.2588190451025208,-0.9659258262890683,-0.9128458599921354,-0.40830434224389367,0.004596380327492099,0.9406002178677422
250,1,0.302477184,75,30,8.6,0,10.0,39,18.0,29.75,14835,-0.8660254037844385,-0.5000000000000004,-0.9128458599921354,-0.40830434224389367,0.09149244684056987,0.7349855866011754
250,1,0.537157757,75,30,8.6,0,10.0,57,14.0,29.74,375,-0.9659258262890684,0.2588190451025203,-0.9128458599921354,-0.40830434224389367,0.28853845590527105,0.5293709562107556
250,0,0.771838331,75,30,8.6,0,10.0,65,8.0,29.76,0,-0.5000000000000004,0.8660254037844384,-0.9128458599921354,-0.40830434224389367,0.5957344092008655,0.32375632494418904
251,0,0.873036649,62,29,14.9,1,10.0,81,8.0,29.76,0,0.25881904510252074,0.9659258262890683,-0.9197204370389468,-0.3925739646141714,0.7621929904971492,0.23274082617647499
251,0,0.637434555,62,29,14.9,1,10.0,87,7.0,29.74,0,0.8660254037844386,0.5000000000000001,-0.9197204370389468,-0.3925739646141714,0.40632281190804803,0.4370986240511579
251,1,0.401832461,62,29,14.9,1,10.0,84,8.0,29.76,2963,0.9659258262890683,-0.25881904510252063,-0.9197204370389468,-0.3925739646141714,0.1614693267133165,0.6414564219258408
251,1,0.166230366,62,29,14.9,1,10.0,68,14.0,29.77,24553,0.49999999999999994,-0.8660254037844387,-0.9197204370389468,-0.3925739646141714,0.027632534580493952,0.8458142206679089
251,1,0.069371728,62,29,14.9,1,10.0,61,22.0,29.73,29986,-0.2588190451025208,-0.9659258262890683,-0.9197204370389468,-0.3925739646141714,0.004812436645705983,0.9298279814574081
251,1,0.304973822,62,29,14.9,1,10.0,70,25.0,29.71,15403,-0.8660254037844385,-0.5000000000000004,-0.9197204370389468,-0.3925739646141714,0.09300903210528769,0.7254701835827252
251,1,0.540575916,62,29,14.9,1,10.0,87,22.0,29.73,379,-0.9659258262890684,0.2588190451025203,-0.9197204370389468,-0.3925739646141714,0.29222232095923906,0.5211123857080423
251,0,0.77617801,62,29,14.9,1,10.0,90,13.0,29.75,0,-0.5000000000000004,0.8660254037844384,-0.9197204370389468,-0.3925739646141714,0.60245230320756,0.31675458783335947
252,0,0.875328084,64,31,5.8,3,10.0,90,7.0,29.76,0,0.25881904510252074,0.9659258262890683,-0.9263239682514951,-0.3767278936351848,0.766199254639111,0.22609158689009196
252,0,0.639107612,64,31,5.8,4,10.0,87,5.0,29.75,0,0.8660254037844386,0.5000000000000001,-0.9263239682514951,-0.3767278936351848,0.40845853971634255,0.4224460014240697
252,1,0.402887139,64,31,5.8,4,9.0,87,0.0,29.77,249,0.9659258262890683,-0.25881904510252063,-0.9263239682514951,-0.3767278936351848,0.16231804677160533,0.6211312579011082
252,1,0.166666667,64,31,5.8,1,9.0,73,5.0,29.78,9910,0.49999999999999994,-0.8660254037844387,-0.9263239682514951,-0.3767278936351848,0.027777777888888886,0.8454357795850784
252,1,0.069553806,64,31,5.8,1,10.0,59,10.0,29.75,28515,-0.2588190451025208,-0.9659258262890683,-0.9263239682514951,-0.3767278936351848,0.004837731929085635,0.9296700496729757
252,1,0.305774278,64,31,5.8,1,10.0,61,14.0,29.7,17490,-0.8660254037844385,-0.5000000000000004,-0.9263239682514951,-0.3767278936351848,0.09349790908642129,0.7247758797984151
252,1,0.541994751,64,31,5.8,1,10.0,73,6.0,29.72,773,-0.9659258262890684,0.2588190451025203,-0.9263239682514951,-0.3767278936351848,0.29375831011155207,0.5198817090564692
252,0,0.778215223,64,31,5.8,1,10.0,87,6.0,29.75,0,-0.5000000000000004,0.8660254037844384,-0.9263239682514951,-0.3767278936351848,0.6056189333089398,0.3149875391819086
253,0,0.878787879,63,21,10.5,3,10.0,84,7.0,29.76,0,0.25881904510252074,0.9659258262890683,-0.9326545075388225,-0.3607707992167831,0.7722681362773186,0.22315123725984326
253,0,0.641633729,63,21,10.5,3,10.0,78,7.0,29.75,0,0.8660254037844386,0.5000000000000001,-0.9326545075388225,-0.3607707992167831,0.41169384219044547,0.424699628787207
253,1,0.404479578,63,21,10.5,4,10.0,81,8.0,29.78,65,0.9659258262890683,-0.25881904510252063,-0.9326545075388225,-0.3607707992167831,0.1636037290190581,0.6197918559977894
253,1,0.167325428,63,21,10.5,4,10.0,73,5.0,29.8,5219,0.49999999999999994,-0.8660254037844387,-0.9326545075388225,-0.3607707992167831,0.027997798855383182,0.8192624290557989
253,1,0.069828722,63,21,10.5,1,10.0,63,15.0,29.76,10789,-0.2588190451025208,-0.9659258262890683,-0.9326545075388225,-0.3607707992167831,0.0048760504161532835,0.9294315915701351
253,1,0.306982872,63,21,10.5,1,10.0,68,20.0,29.74,5208,-0.8660254037844385,-0.5000000000000004,-0.9326545075388225,-0.3607707992167831,0.09423848370136839,0.7237275631040628
253,1,0.544137022,63,21,10.5,1,10.0,78,7.0,29.74,60,-0.9659258262890684,0.2588190451025203,-0.9326545075388225,-0.3607707992167831,0.2960850987110285,0.5180235346379906
253,0,0.781291173,63,21,10.5,3,10.0,81,13.0,29.76,0,-0.5000000000000004,0.8660254037844384,-0.9326545075388225,-0.3607707992167831,0.6104158970077158,0.30601002034888597
254,0,0.880952381,64,28,9.7,3,10.0,81,7.0,29.76,0,0.25881904510252074,0.9659258262890683,-0.9387101892619443,-0.3447073839879337,0.7760770975895691,0.2213117084278252
254,0,0.642857143,64,28,9.7,4,10.0,81,7.0,29.77,0,0.8660254037844386,0.5000000000000001,-0.9387101892619443,-0.3447073839879337,0.4132653063061224,0.41929226746129167
254,1,0.404761905,64,28,9.7,4,10.0,78,7.0,29.8,1346,0.9659258262890683,-0.25881904510252063,-0.9387101892619443,-0.3447073839879337,0.163832199739229,0.6195543904991686
254,1,0.166666667,64,28,9.7,3,10.0,68,3.0,29.84,18380,0.49999999999999994,-0.8660254037844387,-0.9387101892619443,-0.3447073839879337,0.027777777888888886,0.82835626888639
254,1,0.071428571,64,28,9.7,1,10.0,59,16.0,29.81,28891,-0.2588190451025208,-0.9659258262890683,-0.9387101892619443,-0.3447073839879337,0.00510204075510204,0.928043906032111
254,1,0.30952381,64,28,9.7,1,10.0,63,18.0,29.8,14687,-0.8660254037844385,-0.5000000000000004,-0.9387101892619443,-0.3447073839879337,0.09580498895691611,0.7215235907819149
254,1,0.547619048,64,28,9.7,1,10.0,81,15.0,29.82,345,-0.9659258262890684,0.2588190451025203,-0.9387101892619443,-0.3447073839879337,0.29988662173242636,0.5150032763991041
254,0,0.785714286,64,28,9.7,1,10.0,84,8.0,29.85,0,-0.5000000000000004,0.8660254037844384,-0.9387101892619443,-0.3447073839879337,0.6173469392244899,0.30848296201629344
255,0,0.883289125,61,29,11.4,2,10.0,87,10.0,29.85,0,0.25881904510252074,0.9659258262890683,-0.9444892287836613,-0.32854238191083474,0.7801996783432656,0.2215868882957887
255,0,0.644562334,61,29,11.4,4,10.0,87,3.0,29.85,0,0.8660254037844386,0.5000000000000001,-0.9444892287836613,-0.32854238191083474,0.4154606024115275,0.4178580297473686
255,1,0.405835544,61,29,11.4,4,8.0,84,3.0,29.87,292,0.9659258262890683,-0.25881904510252063,-0.9444892287836613,-0.32854238191083474,0.16470248877377594,0.6186513517516391
255,1,0.167108753,61,29,11.4,2,10.0,73,3.0,29.87,10767,0.49999999999999994,-0.8660254037844387,-0.9444892287836613,-0.32854238191083474,0.02792533532921501,0.836516438651115
255,1,0.071618037,61,29,11.4,1,10.0,68,21.0,29.84,27641,-0.2588190451025208,-0.9659258262890683,-0.9444892287836613,-0.32854238191083474,0.005129143223733369,0.9278795660049288
255,1,0.310344828,61,29,11.4,1,10.0,75,23.0,29.81,13835,-0.8660254037844385,-0.5000000000000004,-0.9444892287836613,-0.32854238191083474,0.0963139122663496,0.7208114518206394
255,1,0.549071618,61,29,11.4,1,10.0,87,18.0,29.83,145,-0.9659258262890684,0.2588190451025203,-0.9444892287836613,-0.32854238191083474,0.30147964169313796,0.5137433385037354
255,0,0.787798408,61,29,11.4,1,10.0,87,10.0,29.86,0,-0.5000000000000004,0.8660254037844384,-0.9444892287836613,-0.32854238191083474,0.6206263316473345,0.3066752251868315
256,0,0.886817577,60,28,11.7,3,10.0,90,13.0,29.87,0,0.25881904510252074,0.9659258262890683,-0.9499899229945009,-0.3122805568857948,0.7864454148761508,0.21632709896687866
256,0,0.64713715,60,28,11.7,3,10.0,83,8.0,29.87,0,0.8660254037844386,0.5000000000000001,-0.9499899229945009,-0.3122805568857948,0.41878649091012254,0.42002247829058736
256,1,0.407456724,60,28,11.7,4,10.0,86,5.0,29.9,229,0.9659258262890683,-0.25881904510252063,-0.9499899229945009,-0.3122805568857948,0.16602098193281217,0.6172877757668622
256,1,0.167776298,60,28,11.7,4,9.0,81,7.0,29.93,4349,0.49999999999999994,-0.8660254037844387,-0.9499899229945009,-0.3122805568857948,0.0281488861705848,0.818883201885308
256,1,0.071904128,60,28,11.7,1,10.0,68,16.0,29.88,19126,-0.2588190451025208,-0.9659258262890683,-0.9499899229945009,-0.3122805568857948,0.0051702036234403835,0.9276314148711288
256,1,0.311584554,60,28,11.7,1,10.0,73,21.0,29.85,14692,-0.8660254037844385,-0.5000000000000004,-0.9499899229945009,-0.3122805568857948,0.09708493429137892,0.7197361316864814
256,1,0.55126498,60,28,11.7,3,10.0,80,13.0,29.88,436,-0.9659258262890684,0.2588190451025203,-0.9499899229945009,-0.3122805568857948,0.3038930781744004,0.5015006293401809
256,0,0.790945406,60,28,11.7,3,10.0,86,9.0,29.9,0,-0.5000000000000004,0.8660254037844384,-0.9499899229945009,-0.3122805568857948,0.6255946352725048,0.2978052508663346
257,0,0.886666667,61,29,9.0,3,10.0,80,8.0,29.9,0,0.25881904510252074,0.9659258262890683,-0.9552106508146316,-0.29592670134728966,0.7861777783688888,0.21645535169939634
257,0,0.646666667,61,29,9.0,4,10.0,80,6.0,29.87,0,0.8660254037844386,0.5000000000000001,-0.9552106508146316,-0.29592670134728966,0.41817777820888885,0.4160880733311942
257,1,0.406666667,61,29,9.0,4,10.0,83,5.0,29.9,408,0.9659258262890683,-0.25881904510252063,-0.9552106508146316,-0.29592670134728966,0.16537777804888887,0.6179522934341201
257,1,0.166666667,61,29,9.0,4,10.0,72,3.0,29.93,11376,0.49999999999999994,-0.8660254037844387,-0.9552106508146316,-0.29592670134728966,0.027777777888888886,0.8198165135370458
257,1,0.073333333,61,29,9.0,2,10.0,61,16.0,29.89,28611,-0.2588190451025208,-0.9659258262890683,-0.9552106508146316,-0.29592670134728966,0.005377777728888889,0.9170342510758624
257,1,0.313333333,61,29,9.0,2,10.0,65,17.0,29.86,14587,-0.8660254037844385,-0.5000000000000004,-0.9552106508146316,-0.29592670134728966,0.09817777756888889,0.710964526387459
257,1,0.553333333,61,29,9.0,1,10.0,81,14.0,29.89,239,-0.9659258262890684,0.2588190451025203,-0.9552106508146316,-0.29592670134728966,0.30617777740888885,0.5100467894714952
257,0,0.793333333,61,29,9.0,1,10.0,83,7.0,29.93,0,-0.5000000000000004,0.8660254037844384,-0.9552106508146316,-0.29592670134728966,0.6293777772488889,0.30187431249035296
258,0,0.890227577,62,29,10.1,4,10.0,83,5.0,29.94,0,0.25881904510252074,0.9659258262890683,-0.9601498736716017,-0.2794856348516098,0.7925051388512909,0.21122876856157388
258,0,0.649263722,62,29,10.1,4,10.0,87,3.0,29.94,0,0.8660254037844386,0.5000000000000001,-0.9601498736716017,-0.2794856348516098,0.42154338070529335,0.41390368798894667
258,1,0.408299866,62,29,10.1,4,10.0,84,5.0,29.97,250,0.9659258262890683,-0.25881904510252063,-0.9601498736716017,-0.2794856348516098,0.16670878057561797,0.6165786082574205
258,1,0.167336011,62,29,10.1,3,9.0,73,7.0,30.0,15149,0.49999999999999994,-0.8660254037844387,-0.9601498736716017,-0.2794856348516098,0.028001340577392123,0.8277874185981766
258,1,0.073627845,62,29,10.1,1,10.0,63,15.0,29.96,28581,-0.2588190451025208,-0.9659258262890683,-0.9601498736716017,-0.2794856348516098,0.005421059559344025,0.9261362880481934
258,1,0.3145917,62,29,10.1,1,10.0,68,21.0,29.94,13787,-0.8660254037844385,-0.5000000000000004,-0.9601498736716017,-0.2794856348516098,0.09896793770888998,0.717127777388715
258,1,0.555555556,62,29,10.1,1,10.0,78,18.0,29.97,218,-0.9659258262890684,0.2588190451025203,-0.9601498736716017,-0.2794856348516098,0.3086419758024691,0.5081192658618515
258,0,0.796519411,62,29,10.1,1,10.0,83,13.0,29.99,0,-0.5000000000000004,0.8660254037844384,-0.9601498736716017,-0.2794856348516098,0.634443172099787,0.2991107552023733
259,0,0.89261745,60,28,12.6,3,10.0,86,9.0,29.99,0,0.25881904510252074,0.9659258262890683,-0.9648061359537644,-0.2629622026565152,0.7967659120445025,0.21139800506650624
259,0,0.651006711,60,28,12.6,4,10.0,87,7.0,29.97,0,0.8660254037844386,0.5000000000000001,-0.9648061359537644,-0.2629622026565152,0.42380973776703745,0.41243765834255924
259,1,0.409395973,60,28,12.6,4,7.0,90,7.0,30.01,413,0.9659258262890683,-0.25881904510252063,-0.9648061359537644,-0.2629622026565152,0.16760506270861675,0.6156566716544857
259,1,0.167785235,60,28,12.6,3,7.0,78,5.0,30.01,17412,0.49999999999999994,-0.8660254037844387,-0.9648061359537644,-0.2629622026565152,0.028151885084005228,0.8274056400181454
259,1,0.073825503,60,28,12.6,1,10.0,63,16.0,29.95,28239,-0.2588190451025208,-0.9659258262890683,-0.9648061359537644,-0.2629622026565152,0.005450204893203009,0.9259648424004636
259,1,0.315436242,60,28,12.6,1,10.0,70,22.0,29.92,13397,-0.8660254037844385,-0.5000000000000004,-0.9648061359537644,-0.2629622026565152,0.09950002276708254,0.7163952340551543
259,1,0.55704698,60,28,12.6,1,10.0,83,18.0,29.94,193,-0.9659258262890684,0.2588190451025203,-0.9648061359537644,-0.2629622026565152,0.3103013379271204,0.5068256265772302
259,0,0.798657718,60,28,12.6,1,10.0,90,13.0,29.96,0,-0.5000000000000004,0.8660254037844384,-0.9648061359537644,-0.2629622026565152,0.6378541505209675,0.2972560190993061
260,0,0.894878706,59,28,12.7,2,10.0,90,11.0,29.97,0,0.25881904510252074,0.9659258262890683,-0.9691780654392534,-0.24636127429331536,0.8008078984522344,0.211635797604439
260,0,0.652291105,59,28,12.7,3,10.0,83,9.0,29.96,0,0.8660254037844386,0.5000000000000001,-0.9691780654392534,-0.24636127429331536,0.425483685662121,0.41564232580219784
260,1,0.409703504,59,28,12.7,4,9.0,83,9.0,29.97,685,0.9659258262890683,-0.25881904510252063,-0.9691780654392534,-0.24636127429331536,0.167856961189878,0.6153980070483503
260,1,0.167115903,59,28,12.7,3,10.0,72,7.0,29.98,16170,0.49999999999999994,-0.8660254037844387,-0.9691780654392534,-0.24636127429331536,0.02792772503550541,0.8279744801080102
260,1,0.075471698,59,28,12.7,1,10.0,63,21.0,29.94,28148,-0.2588190451025208,-0.9659258262890683,-0.9691780654392534,-0.24636127429331536,0.005695977199003204,0.9245369570223637
260,1,0.318059299,59,28,12.7,2,10.0,67,20.0,29.92,13455,-0.8660254037844385,-0.5000000000000004,-0.9691780654392534,-0.24636127429331536,0.10116171768037141,0.7069066992520143
260,1,0.5606469,59,28,12.7,1,10.0,80,14.0,29.95,198,-0.9659258262890684,0.2588190451025203,-0.9691780654392534,-0.24636127429331536,0.31432494647960996,0.5037031088133387
260,0,0.803234501,59,28,12.7,2,10.0,78,11.0,29.99,0,-0.5000000000000004,0.8660254037844384,-0.9691780654392534,-0.24636127429331536,0.645185663596719,0.2903236979945955
261,0,0.897297297,62,24,9.6,4,10.0,75,10.0,30.0,0,0.25881904510252074,0.9659258262890683,-0.9732643737003823,-0.2296877421317963,0.8051424392035063,0.20528242058596524
261,0,0.654054054,62,24,9.6,4,10.0,72,7.0,29.99,0,0.8660254037844386,0.5000000000000001,-0.9732643737003823,-0.2296877421317963,0.42778670555383497,0.4098745353505546
261,1,0.410810811,62,24,9.6,4,10.0,70,3.0,30.03,332,0.9659258262890683,-0.25881904510252063,-0.9732643737003823,-0.2296877421317963,0.16876552243447773,0.614466650115144
261,1,0.167567568,62,24,9.6,4,10.0,63,10.0,30.07,5866,0.49999999999999994,-0.8660254037844387,-0.9732643737003823,-0.2296877421317963,0.028078889845434624,0.8190587648797334
261,1,0.075675676,62,24,9.6,2,10.0,52,10.0,30.04,22094,-0.2588190451025208,-0.9659258262890683,-0.9732643737003823,-0.2296877421317963,0.005726807938056975,0.9150230595044633
261,1,0.318918919,62,24,9.6,0,10.0,54,17.0,30.01,13893,-0.8660254037844385,-0.5000000000000004,-0.9732643737003823,-0.2296877421317963,0.10170927689612858,0.7205802132812363
261,1,0.562162162,62,24,9.6,0,10.0,70,9.0,30.0,154,-0.9659258262890684,0.2588190451025203,-0.9732643737003823,-0.2296877421317963,0.3160262963845143,0.5074634270681224
261,0,0.805405405,62,24,9.6,0,10.0,72,6.0,30.01,0,-0.5000000000000004,0.8660254037844384,-0.9732643737003823,-0.2296877421317963,0.648677866403214,0.2943466408550084
262,0,0.900949796,60,26,7.9,1,10.0,78,6.0,30.01,0,0.25881904510252074,0.9659258262890683,-0.9770638564833508,-0.21294651993841573,0.8117105349124416,0.20852937221260523
262,0,0.656716418,60,26,7.9,1,10.0,86,0.0,29.99,0,0.8660254037844386,0.5000000000000001,-0.9770638564833508,-0.21294651993841573,0.43127645367075074,0.4203738191281536
262,1,0.412483039,60,26,7.9,1,10.0,83,0.0,30.02,4342,0.9659258262890683,-0.25881904510252063,-0.9770638564833508,-0.21294651993841573,0.17014225746267553,0.6322182669110872
262,1,0.168249661,60,26,7.9,1,10.0,56,10.0,30.05,24175,0.49999999999999994,-0.8660254037844387,-0.9770638564833508,-0.21294651993841573,0.02830794842661492,0.8440627138266354
262,1,0.075983718,60,26,7.9,0,10.0,49,15.0,30.02,29378,-0.2588190451025208,-0.9659258262890683,-0.9770638564833508,-0.21294651993841573,0.005773525401103525,0.9334271094852837
262,1,0.320217096,60,26,7.9,0,10.0,51,15.0,29.98,13686,-0.8660254037844385,-0.5000000000000004,-0.9770638564833508,-0.21294651993841573,0.1025389885706732,0.7194428196715985
262,1,0.564450475,60,26,7.9,1,10.0,65,8.0,29.96,112,-0.9659258262890684,0.2588190451025203,-0.9770638564833508,-0.21294651993841573,0.31860433872772564,0.5004039436919488
262,0,0.808683853,60,26,7.9,0,10.0,67,6.0,29.98,0,-0.5000000000000004,0.8660254037844384,-0.9770638564833508,-0.21294651993841573,0.6539695741029257,0.29147423916808135
263,0,0.902040816,63,21,7.3,1,10.0,78,3.0,29.99,0,0.25881904510252074,0.9659258262890683,-0.9805753940631429,-0.19614254142819712,0.8136776337299458,0.20758303747995543
263,0,0.657142857,63,21,7.3,1,10.0,80,5.0,29.98,0,0.8660254037844386,0.5000000000000001,-0.9805753940631429,-0.19614254142819712,0.4318367345061224,0.4200039321993563
